x_1,y_1,x_2,y_2
-1757.0382397784851,-13244.636931119952,-1017.3761412136028,-12821.291034079366
-1156.8116511635253,-13901.586420125537,-556.8791514244422,-9206.701476016964
-1230.2696757579997,-10079.451149437315,-1282.3658432635093,-10424.363526853678
-342.0418619525153,-10611.106239854125,-633.1364968940507,-7351.246498711419
-198.28164815826676,-9768.66114664154,-1346.1263387945128,-9684.024784252362
-752.2395262583577,-9832.912756456488,-764.7918061252121,-5877.867251491975
-1359.0398907965155,-8573.493434398797,-47.539105484468564,-8063.264445235746
-924.2301006814432,-4990.915224025588,-1146.9403589977474,-6344.433908580378
-1408.5783777703346,-6499.051871253103,-1387.7872137103568,-6702.235613438081
-3170.9733352521343,-5227.858207716616,-3120.549398764167,-4836.138101235833
-1712.7484734622903,-2637.082947436147,-1834.8965097482862,-2519.927098650151
-1632.3757292676992,-4223.956057841676,-828.9704958712709,-4979.385583230292
-1044.9829462554749,-2724.3277226898376,-9.381914760039331,-1647.2208741651316
-9.619459117247947,-1647.218503987,-122.38072532382375,-2897.2060666683633
-122.21425543463783,-2896.985939877862,-72.01404631003845,-957.9073404087115
-544.4181576130247,-5768.56109043385,-472.48439773900964,-2155.9970475734904
-99.79799480243923,-558.0216768284203,-593.7865169263775,-1389.5201847337787
-1647.0661021462765,-12989.007017970911,-1014.8271546666547,-12098.959161251316
-1040.3472029704953,-13004.330165193567,-643.0514184165768,-8703.514682657642
-1143.9027682503438,-9798.498110655906,-1356.559843836254,-10574.872285069996
-204.4009821067939,-10845.687854563128,-822.9374379136971,-7281.962769605833
-220.9689682068729,-9691.959254449377,-1359.4766097347929,-9565.109449835521
-0.033311962957668584,-8819.80192679179,-1370.9177753258136,-9071.533030338249
-734.7622480933333,-9937.517720168385,-782.4981898791211,-5949.646097230254
-1279.1072893315977,-8663.442637426215,-89.06136617329139,-8142.442509559131
-906.1358844798651,-5276.908915324822,-1109.0753418116437,-6171.583105453982
-1410.064247458473,-6415.59358945559,-1351.078973024476,-6638.268927366149
-3121.5598184196992,-5125.561763611551,-3249.539064374508,-4440.185056719242
-1632.2624039910067,-2712.130174133993,-1811.0586668073513,-2659.1818117082735
-1634.2710789558835,-4103.263833153492,-815.2349772433519,-4961.003242971492
-0.18116329179690638,-1318.588337440625,-1162.9428430959038,-1342.0222447947212
-1001.9095006705261,-2673.163009095099,-10.840745209951649,-1751.3955619342132
-11.01101121617958,-1751.286016371711,-133.21228616346252,-2782.5249574888812
-132.7999511581047,-2781.830358900489,-62.07090307926842,-1029.771717770341
-611.3447676969923,-5674.212483279571,-476.1057288931829,-2348.261885852911
-199.4454838936947,-787.3395808035709,-430.87828949919844,-1065.5296084500203
-1574.3258052950277,-12845.92553747841,-991.9528154779546,-11807.429081494702
-979.2482362438805,-12549.713799888932,-691.0257925174774,-8423.27974947471
-1092.97129623002,-9716.730241855917,-1422.1802755932586,-10597.754783000493
-147.85074217882357,-10860.33182923231,-937.2887672020888,-7117.990834848692
-212.47515437617403,-9668.387348675582,-1386.0061834297976,-9464.52152653114
-0.4622027689765673,-8788.935168999973,-1380.7924247104156,-9130.369684664585
-737.754622491002,-10035.325211493373,-776.9600779492512,-6001.858464531218
-1243.892985664539,-8753.324055351086,-95.91653933264843,-8262.291712620476
-895.2008029670333,-5376.304079845467,-1084.6233188426377,-6075.027804204237
-1392.1906652605512,-6420.926033958199,-1318.0387970235552,-6668.889425632695
-3067.564274740393,-5100.784846353357,-3326.6982301156695,-4305.2829710562055
-1642.7154349322614,-2703.737079716176,-1851.5468414589322,-2662.4040862754428
-1646.5607467668963,-4044.980512998729,-788.8044694438216,-4941.942967079616
-0.4647859182580305,-1260.0146147165074,-992.2878714435852,-1498.0235299236024
-1047.351318114494,-2609.7249758308185,-16.726731330944673,-1778.1772317580446
-16.658001094595537,-1777.8941305582366,-109.1206855833143,-2744.6236991823107
-108.49326536242347,-2744.0195520203893,-60.57941852218153,-1047.7162662922715
-630.7367426105088,-5596.835156803554,-472.73077048465416,-2443.125552757533
-271.4818761189799,-894.8886683146138,-274.3101703645739,-937.4030254362074
-1488.2752085062966,-12684.509093251514,-960.8452526762158,-11802.241783456597
-975.0499702960988,-12448.65840372734,-710.3482791801598,-8296.471422968278
-1066.63748701234,-9713.024744432973,-1437.5685698629968,-10424.152621543253
-137.92576174088026,-10731.362217385098,-969.1028967048569,-6890.559700951393
-247.99171811264387,-9637.704479397122,-1437.7058103636082,-9371.180420105142
-0.05702186826783873,-8672.386498320064,-1421.7689524689995,-9145.46298112475
-749.9424652858506,-10046.077310104774,-750.3276418909518,-5940.338495804362
-1275.4601356165385,-8794.250191531899,-146.54948425879775,-8292.61087035546
-894.603596945949,-5393.728983620457,-1070.2326188319976,-6002.175340152377
-1368.1713449418712,-6465.022136503441,-1311.2481122467743,-6725.049251034477
-3096.088639525472,-5059.368147583903,-3336.398885299671,-4319.263956497204
-1524.9264078048304,-2806.4974203201696,-1779.7273159117062,-2732.0744419007938
-1688.3460693744914,-3995.366821250508,-818.4104516635275,-4806.243051754442
-1.0005264821199944,-1222.3410872874115,-1142.0132977389749,-1349.7214434719626
-1032.3649379759022,-2656.981497570973,-28.885570981141676,-1811.2008414486677
-28.827982384944445,-1811.1300235202068,-123.88391152101576,-2717.7443843774213
-123.3077436735125,-2716.896724099925,-49.57159368909333,-1042.6829839476254
-590.9418951215439,-5566.8670648393945,-503.5291407947134,-2447.0901829357554
-251.0717236060696,-951.7015918236178,-313.88048813168854,-788.8265736358895
-1432.8551574040794,-12329.315618963108,-909.206238322744,-11551.934142536631
-1038.8388654473274,-12195.125001740174,-648.8018759491142,-8159.1353188751045
-1074.533092244148,-9498.974964396477,-1411.4414651723673,-9972.49212857763
-187.41697112862676,-10360.73573883231,-897.0279205170755,-6530.390475479017
-253.9775167441967,-9601.35375156635,-1521.4291572781767,-9340.447429635886
-786.289425078583,-9905.537174042509,-659.6704625229049,-5676.7344447036585
-1384.5448114311675,-8740.453479584457,-180.06071908422018,-8349.713115144295
-907.9235685422973,-5363.188369934264,-1076.2907955196724,-5934.97153358189
-1289.4111865181385,-6501.9828564506115,-1266.7160728936233,-6782.188590192313
-3065.1218750397843,-5074.701611288341,-3281.7553656576665,-4476.2133843423335
-1570.9010136645097,-2798.5428339917403,-1849.6515157475856,-2564.9788553461644
-1704.3677611098046,-4001.222815062071,-814.1664702103972,-4580.574496586478
-1.51568063212801,-1185.3606316237313,-1247.9345308993002,-1275.1832669522623
-1128.5655737065576,-2644.1565942621924,-33.6862839012703,-1817.656420871679
-33.30175379639531,-1817.4792711364662,-121.21079772579651,-2709.4909234656093
-120.91977273902603,-2709.175442104724,-50.52989279035796,-1004.2718039869858
-550.1109187369477,-5503.9571964974275,-488.5837342472555,-2419.67041614337
-107.56858045096601,-887.9911119318464,-206.7989469353014,-869.5364107307142
-1531.9882096122092,-11823.787913434664,-882.3858576337952,-10900.885443635734
-1128.4608316697777,-11729.089095088035,-530.3417882139602,-7944.056283075101
-1148.0663513968366,-9080.7054991891,-1308.401956723099,-9565.905294253464
-297.3404168415691,-9964.066870756087,-724.7479697609251,-6344.10334859845
-239.24379110677728,-9411.391890045566,-1614.8581819274414,-9296.096774127247
-801.5064282603089,-9524.362834435004,-546.1991268277561,-5311.29653967615
-1553.040194589732,-8470.151577871206,-232.698702175996,-8257.664350192168
-947.9336810547229,-5344.812046484339,-1097.8354237900085,-5962.202051795929
-1174.174011365264,-6422.938293322236,-1116.026773299458,-6687.7240811927295
-3083.0350760433794,-5058.503009894121,-3160.575061957567,-4575.2857778861835
-1628.0946992191239,-2804.7928740230636,-1836.508145115909,-2448.9192230481535
-1740.671889193954,-3929.6347514310455,-835.7610886681131,-4415.340351761574
-29.335151162197235,-2588.945038351963,-0.011900344511559524,-2058.737154743055
-1153.3100631945408,-2589.6905471570217,-14.12769779075619,-1765.5224410642243
-13.383493553786243,-1765.1583861001443,-86.31077310822366,-2681.1435725949013
-86.30768989554281,-2681.430530319301,-61.531863290131014,-955.6063508211971
-502.31488486701704,-5439.662410054858,-462.1238184730603,-2252.3641576011587
-1583.8174424506778,-11330.82061907276,-894.1540243211493,-10164.657071870257
-1127.6342362185242,-11041.085124133038,-493.9518082866598,-7527.266544984825
-1242.1598990826424,-8699.12489095642,-1184.903855833406,-9333.980421510343
-352.296847544505,-9596.251034535573,-613.8500108381486,-6101.441065822008
-222.13659935213946,-8924.707913587314,-1645.300406752578,-9033.584114731797
-743.8008216279159,-9168.293416653334,-425.70226226519935,-5063.719978945738
-1669.1903086357197,-8217.37609761428,-282.2624090252393,-8071.424267000152
-1003.8435509561368,-5331.587540352457,-1112.6735273786462,-5990.094539027604
-1067.8052174332188,-6327.435383152719,-810.5632352556586,-6488.114193943561
-3082.068799444689,-5044.044725945936,-3038.359913191557,-4453.565868058443
-1792.4177633444347,-2720.1859964211903,-1890.46050384566,-2330.3986270137148
-1656.1577409828012,-3844.122044173448,-829.9068077626146,-4366.696463721761
-1128.0616950203166,-2490.112987596871,-5.929896832039428,-1591.9098749155496
-4.9745124874513635,-1591.921616643866,-59.893370780881924,-2603.569214668337
-59.46201756434766,-2603.664081068465,-50.938356982772234,-939.0215124019933
-478.35415389434223,-5082.26266739472,-393.86801607123334,-2067.526332073298
-1564.286372389939,-10906.658573899123,-901.2701533907857,-9630.382556570154
-1029.5362525301425,-10295.435305087045,-501.9739290059333,-7017.357461374926
-1300.0807155223656,-8321.60605205576,-1135.0769440928207,-8976.993612547803
-282.40023857984124,-9152.45455878344,-589.2552572269196,-5695.573722265268
-35.67387605489421,-9604.604444257606,-1310.0200630779618,-8941.57380899235
-228.90236120403097,-8337.750867555735,-1646.3783120478438,-8568.633162561531
-616.4175914776024,-8894.788951491148,-314.3866640153483,-4881.207238572542
-1758.6129829307583,-7998.598686991117,-322.596874828967,-7775.927478198377
-1057.0044732909264,-5205.421918310636,-1130.2130192705245,-5912.5328303388505
-945.2770263424809,-6221.3971069583,-475.17196879584117,-6246.614560745175
-3103.313186452142,-5047.636032297858,-2927.8434185099286,-4282.279384224446
-1863.977111859572,-2724.1246947810528,-1835.6240669623346,-2380.2382377251656
-1605.1139842108635,-3655.5740040703868,-819.8624154141249,-4182.166149039
-1084.1451352123922,-2443.6843325610453,-5.989279098976547,-1205.7020599169841
-4.975859045285325,-1205.5939346558866,-46.244114586523665,-2553.75387125332
-44.82457669729206,-2552.937874474583,-24.0702068369053,-916.089522167001
-368.30655160697614,-4375.985074369586,-429.0130876857156,-1834.4230085056904
-9.106516504380124,-12445.271535253432,-1072.0888552085344,-10029.392345963342
-1514.281833793997,-10533.513576362251,-874.1148548793426,-9201.593824319876
-780.6153205447899,-9593.393895763804,-513.08615760674,-6586.991296006541
-1290.9469300950877,-7820.908782795537,-1158.3108042266567,-8416.26512350772
-165.2362693579089,-8682.169721242679,-562.754938586726,-5282.7620291867115
-31.518980216451382,-9136.300653267435,-1123.356676425863,-8491.86317220695
-270.55662886572645,-7914.274059610836,-1628.1911136545204,-8058.372851189229
-460.3238841562652,-8517.228056761704,-222.9100549221148,-4573.864572763432
-1843.1127537862722,-7708.084389768415,-342.97831724843127,-7375.002304089458
-1089.8523988075713,-4961.032733028366,-1163.9161036054156,-5742.924106355523
-773.2951914948499,-5973.059850009057,-242.27298802323276,-5885.29320460372
-3106.316925121458,-5052.825408862917,-2818.422248476629,-4168.283562070246
-1886.8912364223568,-2799.041746976081,-1754.4216883215522,-2431.8032872643853
-1577.4285825883048,-3377.61218889607,-774.0918745285426,-3603.4276567214574
-1112.287337189306,-2471.954117888819,-21.777488702378623,-1170.760017401137
-20.64280831466743,-1171.0321260725395,-50.24906728100132,-2603.3634205119674
-188.04609889513665,-3606.9587228822074,-537.9940571353989,-1560.920920891945
-18.38058926242229,-11791.289889558378,-1118.1095190621927,-9498.918923320618
-1498.047985513149,-10110.804187338414,-819.8378607417599,-8749.122649512146
-713.519731289256,-8959.1932203709,-481.6475943091973,-6206.026416921271
-1251.8887783215669,-7268.897354490933,-1193.6114854157895,-7801.4410048185855
-60.567868495959374,-8205.942347263319,-478.89282316722165,-4901.6777945085605
-330.02943334813244,-7609.287430665539,-1629.3291417189394,-7467.962240116998
-297.8866172966018,-7929.129312879179,-163.70476664005355,-4067.5181490093605
-1938.3552695925127,-7239.9065712278,-375.82949606388866,-6887.943147979081
-1108.4280827672383,-4630.383562740574,-1217.4346769355052,-5508.995498845746
-534.9249742763459,-5553.03993050881,-95.15333660903525,-5348.842276489109
-3081.6744740822114,-4957.608729042789,-2708.2808785231086,-4010.0076956956414
-1921.0273840810996,-2929.1725670907754,-1655.109256500928,-2381.482052092822
-1459.172256440765,-3045.1000824264224,-677.6344158409248,-2666.117903495013
-1227.394106120856,-2507.7889993478943,-50.60718746922897,-1170.629899780527
-48.84607760401003,-1170.653636293695,-102.13904330185596,-2607.553766756738
-1.0856605977621092,-3029.030428269425,-637.7165204794793,-1272.2580888955208
-18.483990927043124,-11217.679911355672,-1115.9483705376279,-9042.933587470185
-1526.6105065474221,-9595.353360640078,-795.2022797415611,-8227.432852094376
-718.9605458478691,-8464.296106984162,-410.14161756002613,-5770.979384637239
-1259.4630668593218,-6768.673651890678,-1164.6898607085423,-7245.94600354927
-19.035539370511287,-7680.605797070529,-358.4019233254003,-4479.595421645303
-375.59654190976835,-7236.626694174216,-1657.824411280315,-6849.6044217274975
-176.9106767745152,-7287.429197493063,-151.92345584706618,-3562.6765044800823
-1990.7143234658824,-6682.405183370055,-456.00450899176394,-6397.024238566831
-1117.6403453780504,-4186.875523762575,-1238.2602282581233,-5196.160670179376
-278.0749061810575,-5124.261000801364,-38.894067724037086,-4838.978239099693
-3065.265759004042,-4713.289172636583,-2621.409373096567,-3663.348683544058
-1960.9797780925378,-3112.189655501212,-1573.008104759131,-2188.3117194596193
-1190.8919779081803,-2724.6580709199447,-533.7806947681628,-1875.4903013255873
-1352.2419452852932,-2497.2231426053318,-55.19405925283099,-917.9012089966807
-52.44979473585899,-917.1098633146781,-136.3143956041465,-2444.61877089976
-8.35704906601677,-10819.888403814843,-1073.94840694296,-8649.920489541415
-1538.648302859876,-9066.074841671374,-809.330758274351,-7705.579459010805
